COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,Measure,Offset,EventType,FLComID
"0",2014-12-04,"05050001000536",,Medium,"0","0","USGS, Water Resources Division",,"03167500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03167500,56.02162,0.00000000000,StreamGage,"6885796"
"0",2014-12-04,"05070202000238",,Medium,"0","0","USGS, Water Resources Division",,"03208500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208500,94.28435,0.00000000000,StreamGage,"1087803"
"0",2014-12-04,"05050001000615",,Medium,"0","0","USGS, Water Resources Division",,"03170000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03170000,24.53248,0.00000000000,StreamGage,"6884590"
"0",2014-12-04,"05050001002694",,Medium,"0","0","USGS, Water Resources Division",,"03164000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03164000,97.92526,0.00000000000,StreamGage,"6887572"
"0",2014-12-04,"05070202000458",,Medium,"0","0","USGS, Water Resources Division",,"03208040",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208040,74.83946,0.00000000000,StreamGage,"1088523"
"0",2014-12-04,"05050001002768",,Medium,"0","0","USGS, Water Resources Division",,"03164500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03164500,0.51990,0.00000000000,StreamGage,"6887480"
"0",2014-12-04,"05050001000484",,Medium,"0","0","USGS, Water Resources Division",,"03165000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03165000,76.66508,0.00000000000,StreamGage,"6886804"
"0",2014-12-04,"05050001002765",,Medium,"0","0","USGS, Water Resources Division",,"03165500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03165500,8.41282,0.00000000000,StreamGage,"6887364"
"0",2014-12-04,"05050001000627",,Medium,"0","0","USGS, Water Resources Division",,"03169500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03169500,19.94680,0.00000000000,StreamGage,"6885046"
"0",2014-12-04,"05050002000371",,Medium,"0","0","USGS, Water Resources Division",,"03177000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03177000,97.43819,0.00000000000,StreamGage,"6908579"
"0",2014-12-04,"05070202000272",,Medium,"0","0","USGS, Water Resources Division",,"03208100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208100,3.34654,0.00000000000,StreamGage,"1089017"
"0",2014-12-04,"05050002000229",,Medium,"0","0","USGS, Water Resources Division",,"03172500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03172500,87.08742,0.00000000000,StreamGage,"6908607"
"0",2014-12-04,"05050002000184",,Medium,"0","0","USGS, Water Resources Division",,"03175500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03175500,26.41516,0.00000000000,StreamGage,"6908591"
"0",2014-12-04,"05070202000139",,Medium,"0","0","USGS, Water Resources Division",,"03208700",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208700,88.87652,0.00000000000,StreamGage,"1088239"
"0",2014-12-04,"05070202000129",,Medium,"0","0","USGS, Water Resources Division",,"03208900",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208900,0.82575,0.00000000000,StreamGage,"1088033"
"0",2014-12-04,"05070202005643",,Medium,"0","0","USGS, Water Resources Division",,"03208680",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208680,16.42512,0.00000000000,StreamGage,"1089209"
"0",2014-12-04,"05070202000322",,Medium,"0","0","USGS, Water Resources Division",,"03207800",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03207800,73.43747,0.00000000000,StreamGage,"1087021"
"0",2014-12-04,"05070202000136",,Medium,"0","0","USGS, Water Resources Division",,"03208850",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208850,69.28773,0.00000000000,StreamGage,"1088257"
"0",2014-12-04,"05070202005547",,Medium,"0","0","USGS, Water Resources Division",,"03208990",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208990,79.66598,0.00000000000,StreamGage,"1089143"
"0",2014-12-04,"05070201000176",,Medium,"0","0","USGS, Water Resources Division",,"03213590",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03213590,88.96881,0.00000000000,StreamGage,"437464"
"0",2014-12-04,"05070202000118",,Medium,"0","0","USGS, Water Resources Division",,"03209000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03209000,74.22834,0.00000000000,StreamGage,"1087671"
"0",2014-12-04,"05070202000909",,Medium,"0","0","USGS, Water Resources Division",,"03208033",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208033,6.97204,0.00000000000,StreamGage,"1088381"
"0",2014-12-04,"05070202000456",,Medium,"0","0","USGS, Water Resources Division",,"03208041",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208041,71.28909,0.00000000000,StreamGage,"1088481"
"0",2014-12-04,"05070202000192",,Medium,"0","0","USGS, Water Resources Division",,"03209200",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03209200,54.85904,0.00000000000,StreamGage,"1087623"
"0",2014-12-04,"05070202001353",,Medium,"0","0","USGS, Water Resources Division",,"03207500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03207500,1.53282,0.00000000000,StreamGage,"1087469"
"0",2014-12-04,"05050002001197",,Medium,"0","0","USGS, Water Resources Division",,"03175100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03175100,46.53192,0.00000000000,StreamGage,"6909923"
"0",2014-12-04,"05050002000090",,Medium,"0","0","USGS, Water Resources Division",,"03177710",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03177710,16.57548,0.00000000000,StreamGage,"6909539"
"0",2014-12-04,"05050002000562",,Medium,"0","0","USGS, Water Resources Division",,"03175000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03175000,97.76091,0.00000000000,StreamGage,"6909733"
"0",2014-12-04,"05070202000160",,Medium,"0","0","USGS, Water Resources Division",,"03208950",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208950,90.74403,0.00000000000,StreamGage,"1089041"
"0",2014-12-04,"05050002000176",,Medium,"0","0","USGS, Water Resources Division",,"03176500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03176500,12.58518,0.00000000000,StreamGage,"6908699"
"0",2014-12-04,"05050002000227",,Medium,"0","0","USGS, Water Resources Division",,"03173000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03173000,72.04430,0.00000000000,StreamGage,"6908597"
"0",2014-12-04,"05050001000033",,Medium,"0","0","USGS, Water Resources Division",,"03171000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03171000,7.51382,0.00000000000,StreamGage,"6884666"
"0",2014-12-04,"05070202000138",,Medium,"0","0","USGS, Water Resources Division",,"03208800",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208800,70.36636,0.00000000000,StreamGage,"1088261"
"0",2014-12-04,"05070202000908",,Medium,"0","0","USGS, Water Resources Division",,"03208032",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03208032,99.54752,0.00000000000,StreamGage,"1088515"
"0",2014-12-04,"06010101000032",,Medium,"0","0","USGS, Water Resources Division",,"03489850",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03489850,26.10306,0.00000000000,StreamGage,"19762764"
"0",2014-12-04,"06010101000011",,Medium,"0","0","USGS, Water Resources Division",,"03490000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03490000,26.41489,0.00000000000,StreamGage,"19763234"
"0",2014-12-04,"06010101000206",,Medium,"0","0","USGS, Water Resources Division",,"03488450",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03488450,28.67775,0.00000000000,StreamGage,"19762218"
"0",2014-12-04,"06010205000060",,Medium,"0","0","USGS, Water Resources Division",,"03526000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03526000,16.58015,0.00000000000,StreamGage,"14639861"
"0",2014-12-04,"06010102000181",,Medium,"0","0","USGS, Water Resources Division",,"03474500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03474500,96.47460,0.00000000000,StreamGage,"19751081"
"0",2014-12-04,"06010102000035",,Medium,"0","0","USGS, Water Resources Division",,"03472500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03472500,58.29397,0.00000000000,StreamGage,"19751789"
"0",2014-12-04,"06010102000029",,Medium,"0","0","USGS, Water Resources Division",,"03473000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03473000,65.82467,0.00000000000,StreamGage,"19752425"
"0",2014-12-04,"06010206000121",,Medium,"0","0","USGS, Water Resources Division",,"03530500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03530500,61.98718,0.00000000000,StreamGage,"22540294"
"0",2014-12-04,"06010205000245",,Medium,"0","0","USGS, Water Resources Division",,"03524550",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03524550,93.43165,0.00000000000,StreamGage,"14639199"
"0",2014-12-04,"06010205000326",,Medium,"0","0","USGS, Water Resources Division",,"03527500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=03527500,22.03889,0.00000000000,StreamGage,"14639779"
